STEPTYPE,DESIGN_ID,STEP,MFG_WORKWEEK,MOD_CUSTOM_TEST_FLOW,ADJ_ROW_SHORT_LOCAL,BLOB_FAIL,COL_FUSE,DB,DB_SAMEDQ,DB_SAMEROW,DIGIT,FOUR_ROW_SHORT,FOUR_ROW_SHORT_LOCAL,GLOBAL_COLUMN_SELECT,LOCAL_DQ,MOD_PERIPH,MULTI_BANK_2DIGIT,MULTI_BANK_2ROW,MULTI_BANK_DSA_MULTI_DQ,MULTI_BANK_MULTI_DQ,MULTI_BANK_SINGLE_DQ,MULTI_HALFBANK_MULTI_DQ,MULTI_HALFBANK_SINGLE_DQ,NICKEDFUSE,NOFA,QUAD_SECTION_2CP,QUINT_SECTION_2CP,ROW_AND_DIGIT,ROW_LOCAL_SWL_ARM,ROW_SWL_TO_DIG_INT,SB,SB_MODSYS,SECTION_FAIL_PERIPH,SECTION_TWO_PREFETCH,SECTION_TWO_ROW,SECTION_TWO_ROW_2CP,SG_DIG_SHORT,SINGLE_BANK,SINGLE_BANK_1CP,SINGLE_BURST,SINGLE_BURST_SINGLE_ROW,SYS_EVEN_BURST_BIT,SYS_ODD_BURST_BIT,TFF,THREE_ROW_SHORT,THREE_ROW_SHORT_LOCAL,TRAIN,TRIPLE_SECTION_2CP,TWO_ROW_LOCAL_SHORT,TWO_ROW_SHORT,UNKNOWN,ALL(DPM),ALL,UIN
ATE,Y6CP,HMFN,202605.0,-,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,2.9,0.0,5.9,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,0.0,1.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,37.6,12.8,340732.0
ATE,Y6CP,HMFN,202606.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0
ATE,Y6CP,HMFN,202607.0,-,0.0,3.6,0.2,4.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,7.0,1.2,21.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,24.9,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.2,0.0,27.3,0.0,1.8,4.6,0.4,0.0,0.2,0.0,0.6,1.8,0.0,109.7,30.8,280669.0
ATE,Y6CP,HMFN,202608.0,-,0.0,0.0,0.0,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4,2.0,31552.0
ATE,Y6CP,HMFN,202609.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,13.9,0.0,6.4,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,42.9,5.0,116544.0
ATE,Y6CP,HMFN,202610.0,-,0.0,0.2,0.4,6.7,1.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.2,0.0,0.0,0.9,12.7,2.1,19.1,0.0,16.5,0.0,0.9,0.0,0.0,0.0,17.1,0.0,0.0,0.1,0.0,0.0,0.0,1.7,0.5,0.4,8.2,0.9,0.0,0.8,0.0,0.3,0.0,0.0,2.4,0.0,0.0,95.2,55.5,583232.0
ATE,Y6CP,HMFN,202611.0,-,0.0,1.6,0.0,32.3,4.4,0.0,0.0,1.3,0.0,0.0,1.8,5.3,3.4,1.3,0.0,16.3,42.3,2.6,177.5,15.8,28.8,0.0,0.0,1.3,0.0,0.0,126.8,0.0,0.0,0.0,15.8,6.6,5.3,0.0,0.0,0.0,12.8,10.6,2.6,2395.5,1.3,3.4,0.0,0.0,4.4,2.6,0.0,2923.9,553.5,189310.0
ATE,Y6CP,HMFN,202612.0,-,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,135.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.1,12.7,75835.0
ATE,Y6CP,HMFN,202613.0,-,0.0,0.0,2.3,1.9,2.0,0.0,3.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.9,0.0,48.2,0.0,18.4,0.0,0.0,0.0,0.0,0.0,39.7,0.7,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.0,0.0,174.6,1.1,0.0,0.0,0.0,0.0,0.0,4.0,329.4,83.0,251952.0
ATE,Y6CP,HMFN,202614.0,-,0.0,0.0,2.9,2.9,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.9,2.9,7.5,2.2,31.3,5.8,13.9,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,584.6,0.0,0.0,0.0,0.0,0.0,0.0,1.5,680.1,232.7,342201.0
Total,,,,,0.0,0.6,0.9,6.3,1.3,0.0,0.4,0.3,0.1,0.0,0.3,0.5,0.6,0.1,0.5,2.8,11.9,1.3,34.5,2.3,12.9,0.0,0.2,0.1,0.5,0.0,27.1,0.1,0.0,0.6,1.4,1.0,0.5,0.5,0.2,0.1,11.0,1.4,0.5,320.8,0.4,0.4,0.0,0.0,1.3,0.5,0.7,446.5,988.0,2212923.0
